COD;REG;MUN;POPT2010;POPT2011;POPT2012;POPT2013;POPT2014;POPT2015;POPT2016;POPT2017;POPT2018;POPT2019;POPT2020;POPT2021;POPU2010;POPU2011;POPU2012;POPU2013;POPU2014;POPU2015;POPU2016;POPU2017;POPU2018;POPU2019;POPU2020;POPU2021;POPTESG2010;POPTESG2011;POPTESG2012;POPTESG2013;POPTESG2014;POPTESG2015;POPTESG2016;POPTESG2017;POPTESG2018;POPTESG2019;POPTESG2020;POPTESG2021;POPUESG2010;POPUESG2011;POPUESG2012;POPUESG2013;POPUESG2014;POPUESG2015;POPUESG2016;POPUESG2017;POPUESG2018;POPUESG2019;POPUESG2020;POPUESG2021
420768;Oeste Catarinense ;Ipuacu;6798;6850;6901;7123;7193;7262;7331;7400;7448;7514;7579;7643;1377;1388;1398;1443;1457;1471;1485;1499;1509;1522;1535;1548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420770;Oeste Catarinense ;Ipumirim;7220;7245;7268;7435;7467;7499;7530;7561;7565;7593;7620;7647;3148;3159;3169;3242;3256;3270;3283;3297;3298;3311;3322;3334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420775;Oeste Catarinense ;Iraceminha;4253;4227;4202;4212;4175;4139;4103;4067;4015;3976;3938;3901;1468;1459;1450;1454;1441;1429;1416;1404;1386;1372;1359;1347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420780;Oeste Catarinense ;Irani;9531;9595;9656;9948;10033;10118;10202;10285;10339;10419;10498;10575;6520;6564;6606;6805;6863;6922;6979;7036;7073;7127;7182;7234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420785;Oeste Catarinense ;Irati;2096;2081;2067;2067;2046;2025;2004;1984;1952;1930;1909;1887;449;446;443;443;438;434;429;425;418;413;409;404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420790;Norte Catarinense;Irineopolis;10448;10503;10556;10843;10916;10989;11061;11133;11155;11222;11289;11354;3519;3538;3555;3652;3677;3701;3725;3750;3757;3780;3802;3824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420800;Oeste Catarinense ;Ita;6426;6401;6375;6420;6383;6347;6311;6275;6209;6169;6129;6091;4057;4041;4025;4053;4030;4007;3984;3962;3920;3895;3869;3846;4100;4100;0;0;0;0;3984;3962;4530;4530;4530;4530;3600;3600;0;0;0;0;3984;3962;3920;3895;3869;3846
420810;Norte Catarinense;Itaiopolis;20301;20395;20485;21015;21139;21263;21385;21506;21556;21669;21780;21889;10737;10787;10834;11115;11180;11246;11310;11374;11401;11461;11519;11577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420820;Vale do Itajai ;Itajai;183373;186127;188791;197809;201557;205271;208958;212615;215895;219536;223112;226617;173452;176057;178577;187107;190652;194165;197653;201112;204214;207658;211041;214356;0;0;0;0;2555;42619;42619;43364;63806;63806;63806;63806;0;0;0;0;2555;42619;42619;43364;63806;63806;63806;63806
420830;Vale do Itajai ;Itapema;45797;47327;48807;52923;55016;57089;59147;61187;63250;65312;67338;69323;44659;46151;47594;51608;53649;55670;57677;59667;61678;63689;65665;67600;27381;27381;28715;30965;32190;33474;36452;46540;48108;51427;52863;53069;27381;27381;28715;30965;32190;33474;36452;46540;48108;51427;52863;53069
420840;Oeste Catarinense ;Itapiranga;15409;15518;15623;16107;16253;16398;16541;16683;16736;16872;17007;17139;7616;7670;7722;7961;8033;8105;8175;8246;8272;8339;8406;8471;6710;6710;6801;7210;7350;7410;7531;8350;7112;7171;7225;7283;6710;6710;6801;7210;7350;7410;7531;8246;7112;7171;7225;7283
420845;Norte Catarinense;Itapoa;14763;15218;15658;16899;17521;18137;18749;19355;19963;20576;21177;21766;14172;14609;15031;16222;16820;17411;17998;18580;19164;19752;20329;20895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420850;Vale do Itajai ;Ituporanga;22250;22462;22667;23490;23777;24061;24343;24622;24812;25086;25355;25619;14832;14973;15110;15659;15850;16039;16227;16413;16540;16722;16902;17078;0;0;0;0;0;0;0;0;0;0;3164;3148;0;0;0;0;0;0;0;0;0;0;3164;3148
420860;Oeste Catarinense ;Jabora;4041;4030;4018;4057;4040;4023;4006;3990;3955;3936;3918;3899;1605;1601;1596;1611;1605;1598;1591;1585;1571;1563;1556;1549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420870;Sul Catarinense ;Jacinto Machado;10609;10585;10562;10677;10642;10608;10573;10539;10457;10416;10376;10337;5133;5121;5110;5166;5149;5133;5116;5099;5059;5040;5020;5001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420880;Sul Catarinense ;Jaguaruna;17290;17496;17695;18425;18704;18980;19254;19527;19755;20024;20288;20547;13198;13355;13507;14064;14277;14488;14697;14906;15080;15285;15486;15684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420890;Norte Catarinense;Jaragua do Sul;143123;145782;148353;156519;160143;163735;167300;170835;174158;177697;181173;184579;132800;135267;137653;145230;148592;151925;155233;158513;161597;164880;168106;171266;62862;68081;74715;77476;89406;91691;119117;137433;140631;144842;148637;156839;62853;68075;74709;71888;82223;86597;110160;128476;133674;139757;146491;154693
420895;Oeste Catarinense ;Jardinopolis;1766;1749;1732;1721;1697;1672;1649;1625;1595;1570;1546;1520;799;791;784;779;768;756;746;735;722;710;699;688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420900;Oeste Catarinense ;Joacaba;27020;27247;27467;28398;28705;29008;29310;29608;29827;30118;30404;30684;24924;25133;25336;26195;26478;26758;27036;27311;27513;27782;28045;28304;10388;10662;10930;11348;11850;12967;13558;17369;17811;18470;19064;19400;10388;10662;10930;11348;11850;12967;13558;17369;17811;18470;19064;19400
420910;Norte Catarinense;Joinville;515288;520905;526338;546981;554601;562151;569645;577077;583144;590466;597658;604708;497850;503277;508526;528470;535833;543127;550367;557548;563410;570484;577432;584244;85278;93487;101931;102112;121155;165639;171062;172280;185297;223524;227432;241123;85278;93487;101931;102112;121155;164860;170293;171538;184530;222736;226632;240279
